split,problem,case_id,baseline_variant,candidate_variant,baseline_complete,candidate_complete,both_complete,completion_delta,baseline_code_sha256,candidate_code_sha256,baseline_virtual_time_s,candidate_virtual_time_s,delta_total_virtual_time_s,delta_average_clear_time_s,delta_walk_distance_m,delta_movement_time_s,delta_measure_time_s,delta_switch_time_s,delta_optical_time_s,delta_laser_time_s,delta_measures,delta_switches,delta_clear_attempts,delta_clear_successes,delta_fallback_targets,delta_program_real_time_s,delta_clear_fraction,delta_timing_residual_s,time_reduction_pct
tune,3,local-p3-11300-random-min-deterministic,baseline,active,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5384.373229,5190.090561,-194.28266799999983,-19.428266800000074,-1146.4133416608129,-229.28266833216276,35,0,0,0,7,0,0,0,0,0.5425988000351936,0.0,3.3216292649740353e-07,3.6082689616240167
tune,3,local-p3-11300-random-min-deterministic,baseline,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5384.373229,4134.909166,-1249.4640629999994,-124.94640629999998,-6627.320317111189,-1325.4640634222378,55,6,15,0,11,6,5,0,2,0.6741726000327617,0.0,4.2223837226629257e-07,23.205376185113625
tune,3,local-p3-11300-random-min-deterministic,active,nearest_safe,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5190.090561,5177.717202,-12.373359000000164,-1.2373358999999482,-61.86680216784589,-12.37336043356936,0,0,0,0,0,0,0,0,0,0.029810499981977046,0.0,1.4335691957967356e-06,0.23840352792642078
tune,3,local-p3-11300-random-min-deterministic,nearest_safe,immediate,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5177.717202,5581.328494,403.6112920000005,40.36112920000005,1743.0564829230352,348.61129658460777,50,-10,15,0,10,-10,5,0,2,0.19433999992907047,0.0,-4.584606358548626e-06,-7.795159068249177
tune,3,local-p3-11300-random-min-deterministic,nearest_safe,joint_square,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5177.717202,4134.909166,-1042.8080359999994,-104.28080359999996,-5419.04017328253,-1083.8080346565057,20,6,15,0,4,6,5,0,2,0.061213299981318414,0.0,-1.3434937500278465e-06,20.140304989951815
tune,3,local-p3-11300-random-min-deterministic,joint_square,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,4134.909166,4134.909166,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.04055000003427267,0.0,0.0,0.0
tune,3,local-p3-11301-random-max-correlated,baseline,active,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,7874.489519,6445.368963,-1429.1205559999999,-89.32003474999999,-7485.602779299334,-1497.1205558598667,50,0,18,0,10,0,6,0,8,1.857234700000845,0.0,-1.4013312465976924e-07,18.148739071297758
tune,3,local-p3-11301-random-max-correlated,baseline,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,7874.489519,5698.887872,-2175.6016469999995,-135.97510293749997,-11598.008225388294,-2319.6016450776588,65,4,75,0,13,4,25,0,7,1.6358707000035793,0.0,-1.922340743476525e-06,27.628478541378318
tune,3,local-p3-11301-random-max-correlated,active,nearest_safe,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,6445.368963,6439.181679,-6.187283999999636,-0.38670524999997724,-30.93641379494875,-6.187282758989568,0,0,0,0,0,0,0,0,0,-0.2224530999083072,0.0,-1.2410100680426694e-06,0.09599580777327232
tune,3,local-p3-11301-random-max-correlated,nearest_safe,immediate,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,6439.181679,7605.079303,1165.8976240000002,72.86860150000001,5549.48812857673,1109.8976257153463,-10,-24,90,0,-2,-24,30,0,2,0.007851399946957827,0.0,-1.7153452063212171e-06,-18.106301112800146
tune,3,local-p3-11301-random-max-correlated,nearest_safe,joint_square,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,6439.181679,5698.887872,-740.293807,-46.2683629375,-4081.4690322940114,-816.2938064588025,15,4,57,0,3,4,19,0,-1,0.169685099972412,0.0,-5.411975507740863e-07,11.496706319287563
tune,3,local-p3-11301-random-max-correlated,joint_square,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5698.887872,5698.887872,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.16859600006137043,0.0,0.0,0.0
tune,3,local-p3-11302-random-mixed-extreme,baseline,active,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5614.467851,4912.864945,-701.6029060000001,-70.16029060000005,-3578.0145321381133,-715.6029064276227,5,0,9,0,1,0,3,0,1,0.7509249999420717,0.0,4.276225809007883e-07,12.496338470885298
tune,3,local-p3-11302-random-mixed-extreme,baseline,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5614.467851,4894.723702,-719.7441490000001,-71.97441490000006,-3848.7207566589204,-769.7441513317845,35,3,12,0,7,3,4,0,3,0.7148354999953881,0.0,2.331784344278276e-06,12.81945445411724
tune,3,local-p3-11302-random-mixed-extreme,active,nearest_safe,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,4912.864945,4896.706403,-16.158542000000125,-1.6158542000000011,-80.79270470541815,-16.15854094108363,0,0,0,0,0,0,0,0,0,0.12027409998700023,0.0,-1.0589164958219044e-06,0.32890262974652407
tune,3,local-p3-11302-random-mixed-extreme,nearest_safe,immediate,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,4896.706403,5567.8217,671.1152970000003,67.11152970000006,3075.5764974349586,615.1152994869917,60,-10,6,0,12,-10,2,0,3,-0.06723489996511489,0.0,-2.4869914341252297e-06,-13.705442837839675
tune,3,local-p3-11302-random-mixed-extreme,nearest_safe,joint_square,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,4896.706403,4894.723702,-1.9827009999999063,-0.198270100000002,-189.913519815389,-37.982703963078166,30,3,3,0,6,3,1,0,2,-0.16853269992861897,0.0,2.963078259199392e-06,0.04049050191747643
tune,3,local-p3-11302-random-mixed-extreme,joint_square,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,4894.723702,4894.723702,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.012169099994935095,0.0,0.0,0.0
tune,3,local-p3-11303-random-min-deterministic,baseline,active,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,6644.546522,5520.854325,-1123.6921969999994,-70.23076231249996,-5593.460976765204,-1118.692195353041,-5,0,0,0,-1,0,0,0,0,1.047957800095901,0.0,-1.646958480705507e-06,16.91149566459457
tune,3,local-p3-11303-random-min-deterministic,baseline,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,6644.546522,5372.517414,-1272.0291079999997,-79.50181924999998,-6735.145541354901,-1347.02910827098,70,5,0,0,14,5,0,0,1,1.3008616999723017,0.0,2.7098121790913865e-07,19.143956683700374
tune,3,local-p3-11303-random-min-deterministic,active,nearest_safe,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5520.854325,5514.25112,-6.603205000000344,-0.4127003125000215,-33.0160320159448,-6.6032064031887785,0,0,0,0,0,0,0,0,0,0.07245430001057684,0.0,1.4031884347787127e-06,0.1196047678725945
tune,3,local-p3-11303-random-min-deterministic,nearest_safe,immediate,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5514.25112,6433.543736,919.2926159999997,57.45578849999998,4396.463101356647,879.2926202713297,45,-20,15,0,9,-20,5,0,3,0.15926420001778752,0.0,-4.271329089533538e-06,-16.67121420469512
tune,3,local-p3-11303-random-min-deterministic,nearest_safe,joint_square,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5514.25112,5372.517414,-141.73370599999998,-8.858356624999999,-1108.6685325737526,-221.73370651475034,75,5,0,0,15,5,0,0,1,0.11580449994653463,0.0,5.147512638359331e-07,2.5703164929492726
tune,3,local-p3-11303-random-min-deterministic,joint_square,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,5372.517414,5372.517414,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.06464509991928935,0.0,0.0,0.0
tune,4,local-p4-11400-random-min-deterministic,baseline,active,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,13254.42786,13260.527864,6.100003999999899,0.6100003999999899,-1114.499967892065,-222.89999357841225,40,0,189,0,8,0,63,0,2,1.4536966000450775,0.0,-2.4215860321419314e-06,-0.04602238636349482
tune,4,local-p4-11400-random-min-deterministic,baseline,joint_triangular,True,True,True,0,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd,13254.42786,10979.771944,-2274.6559159999997,-227.46559160000015,-7378.279565470504,-1475.6559130941005,-785,-155,141,0,-157,-155,47,0,5,1.5914060999639332,0.0,-2.90589923679363e-06,17.161479469548375
